black.py:28:syms = pygram.python_symbols
black.py:29:FileContent = str
black.py:35:LN = Union[Leaf, Node]
black.py:36:out = partial(click.secho, bold=True, err=True)
black.py:37:err = partial(click.secho, fg='red', err=True)
black.py:290:GRAMMARS = [
black.py:332:T = TypeVar('T')
black.py:396:WHITESPACE = {token.DEDENT, token.INDENT, token.NEWLINE}
black.py:398:STATEMENT = {
black.py:408:STANDALONE_COMMENT = 153
black.py:410:COMPARATORS = {
black.py:433:COMPREHENSION_PRIORITY = 20
black.py:434:COMMA_PRIORITY = 10
black.py:1075:BRACKET = {token.LPAR: token.RPAR, token.LSQB: token.RSQB, token.LBRACE: token.RBRACE}
black.py:1076:OPENING_BRACKETS = set(BRACKET.keys())
black.py:1077:CLOSING_BRACKETS = set(BRACKET.values())
black.py:1079:ALWAYS_NO_SPACE = CLOSING_BRACKETS | {token.COMMA, STANDALONE_COMMENT}
black.py:1900:if __name__ == '__main__':
tests/test_black.py:15:ll = 88
tests/test_black.py:17:fs = partial(black.format_str, line_length=ll)
tests/test_black.py:18:THIS_FILE = Path(__file__)
tests/test_black.py:20:EMPTY_LINE = '# EMPTY LINE WITH WHITESPACE' + ' (this comment will be removed)'
tests/test_black.py:328:if __name__ == '__main__':
tests/test_black.py:154:    def test_comments3(self) -> None:
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:43:    if _input and not _output:
tests/test_black.py:45:        _output = _input[:]
tests/test_black.py:46:    return ''.join(_input).strip() + '\n', ''.join(_output).strip() + '\n'
tests/test_black.py:155:        source, expected = read_data('comments3')
black.py:267:def format_str(src_contents: str, line_length: int) -> FileContent:
black.py:298:def lib2to3_parse(src_txt: str) -> Node:
black.py:300:    grammar = pygram.python_grammar_no_print_statement
black.py:301:    if src_txt[-1] != '\n':
black.py:304:    for grammar in GRAMMARS:
black.py:305:        drv = driver.Driver(grammar, pytree.convert)
black.py:306:        try:
black.py:307:            result = drv.parse_string(src_txt, True)
black.py:321:    if isinstance(result, Leaf):
black.py:323:    return result
black.py:272:    src_node = lib2to3_parse(src_contents)
black.py:273:    dst_contents = ""
black.py:1060:    def __attrs_post_init__(self) -> None:
black.py:1062:        v = self.visit_stmt
black.py:274:    lines = LineGenerator()
black.py:275:    elt = EmptyLineTracker()
black.py:1679:def is_python36(node: Node) -> bool:
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1688:            value_head = n.value[:2]  # type: ignore
black.py:1689:            if value_head in {'f"', 'F"', "f'", "F'", 'rf', 'fr', 'RF', 'FR'}:
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
black.py:1686:    for n in node.pre_order():
black.py:1687:        if n.type == token.STRING:
black.py:1:#!/usr/bin/env python3
black.py:1692:        elif (
